"Category","Feature_gate_in_plan","Line_item","Source","Free_or_included_before_overage","When_to_scale_Pro_or_paid_tier","Unit","Starter_USD_or_numeric_per_Unit_column","Growth_USD_or_numeric_per_Unit_column","Premium_USD_or_numeric_per_Unit_column","Notes"
"Supabase","(shared baseline)","Supabase Pro base (per project per month)","https://supabase.com/pricing","Pro monthly fee includes bundled quotas (DB size, file storage, egress, auth MAU caps per Supabase pricing page; not unlimited).","You are already on a paid tier. Scale up compute, disk, or move to Team/Enterprise when you hit quotas, need SLAs, or multi-project governance.","USD/mo","25","25","25","Shared platform bill, not per tenant. Applies to all plans because all tenants use the same backend."
"Supabase","(shared baseline)","Supabase compute (minimum example)","https://supabase.com/pricing","Compute may start at smallest instance included in your bill; confirm in dashboard.","Increase compute size when CPU, memory, or connection limits cause slow queries or errors.","USD/mo","10","10","10","Compute is billed separately by instance size. Use your actual instance size bill; $10/mo is a common minimum-sized compute example, verify on Supabase pricing."
"Supabase","(usage based)","Supabase DB storage overage (per GB-month)","https://supabase.com/pricing","Included GB-month on Pro before this per-GB rate applies.","Optimize schema, archive cold data, or add paid storage when consistently over included DB size.","USD/GB-mo","0.125","0.125","0.125","Unit rate. Actual bill depends on total DB size over included quota."
"Supabase","(usage based)","Supabase file storage overage (per GB-month)","https://supabase.com/pricing","Included file storage on Pro before overage.","Compress assets, use external object store, or pay overage when file volume grows past quota.","USD/GB-mo","0.021","0.021","0.021","Unit rate. Actual bill depends on total Storage used over included quota."
"Supabase","(usage based)","Supabase egress overage (per GB)","https://supabase.com/pricing","Included egress on Pro before overage.","Add caching, CDN, or reduce payload size; pay overage if traffic exceeds quota.","USD/GB","0.09","0.09","0.09","Unit rate. Actual bill depends on total bandwidth over included quota."
"Supabase","(optional add-on)","Supabase IPv4 add-on (per month)","https://supabase.com/pricing","Not included unless you subscribe to add-on.","Enable when you need stable outbound IPv4 for allowlists or integrations that require it.","USD/mo","4","4","4","Only if you enable dedicated IPv4. Otherwise set to 0."
"Supabase","(optional add-on)","Supabase PITR add-on (per month)","https://supabase.com/pricing","Not included unless you subscribe to add-on.","Add when you need point-in-time recovery for compliance or operational safety beyond backups.","USD/mo","100","100","100","Point-in-time recovery is an add-on on some plans. Only include if enabled; otherwise set to 0."
"Google Maps","Location & time zones (true for all)","Dynamic Maps loads (per 1000 after free cap)","https://developers.google.com/maps/billing-and-pricing/pricing","Typically 10000 Dynamic Maps loads/mo free per SKU (see free cap row); Google Cloud often gives monthly credits for new accounts (verify billing account).","Enable Cloud billing and set budget alerts before free tier exhaustion; optimize map loads (caching, static maps) when costs climb.","USD/1k loads","7","7","7","Unit rate after free cap. Actual bill depends on total map loads across all tenants."
"Google Maps","Location & time zones (true for all)","Geocoding requests (per 1000 after free cap)","https://developers.google.com/maps/billing-and-pricing/pricing","Typically 10000 geocoding requests/mo free per SKU; Cloud credits may apply.","Same as maps: monitor usage in Google Cloud console; batch or cache geocoding when approaching cap.","USD/1k req","5","5","5","Unit rate after free cap. Free cap is typically 10,000 events per month per SKU. Orbyt uses geocoding for address search and location tooling."
"Google Maps","(pricing detail)","Dynamic Maps free cap (events per month)","https://developers.google.com/maps/billing-and-pricing/pricing","This row is the free monthly event allowance for the SKU (not dollars).","After 10000/mo on this SKU, paid per-1k rate applies; plan capacity before launch traffic spikes.","events/mo (ref)","10000 (map loads/mo included free)","10000 (map loads/mo included free)","10000 (map loads/mo included free)","Not a price. Google monthly free allowance for this SKU before per-1k billing starts."
